Nombre,Estado,Provincia,"Población
Censo 1981-03-01","Población
Censo 1991-03-01","Población
Censo 2001-11-01","Población
Censo 2011-11-01",Poblacion2018
Codorniz,Municipio,Segovia,597,517,463,395,334
Cogeces de Íscar,Municipio,Valladolid,168,160,148,158,144
Cogeces del Monte,Municipio,Valladolid,1.218,1.056,893,794,691
Cogollos,Municipio,Burgos,242,208,264,492,545
Collado de Contreras,Municipio,Ávila,360,297,270,237,179
Collado del Mirón,Municipio,Ávila,170,124,73,45,32
Collado Hermoso,Municipio,Segovia,125,122,154,161,123
Collazos de Boedo,Municipio,Palencia,200,186,152,129,105
Colmenar de Montemayor,Municipio,Salamanca,458,317,257,199,182
Condado de Castilnovo,Municipio,Segovia,227,161,114,94,95
Condado de Treviño,Municipio,Burgos,1.346,924,1.139,1.470,1.352
Congosto,Municipio,León,2.022,1.974,1.759,1.671,1.533
Congosto de Valdavia,Municipio,Palencia,415,302,257,187,165
Constanzana,Municipio,Ávila,244,222,171,123,106
Contreras,Municipio,Burgos,124,89,114,96,80
Coomonte,Municipio,Zamora,397,395,314,222,194
Corbillos de los Oteros,Municipio,León,558,392,297,229,209
Corcos (Corcos del Valle),Municipio,Valladolid,303,257,259,226,209
Cordovilla,Municipio,Salamanca,172,150,145,126,123
Cordovilla la Real,Municipio,Palencia,226,143,121,129,93
Coreses,Municipio,Zamora,1.460,1.337,1.224,1.133,1.057
Corral de Ayllón,Municipio,Segovia,178,132,100,88,78
Corrales de Duero,Municipio,Valladolid,216,169,126,99,100
Corrales del Vino,Municipio,Zamora,1.512,1.371,1.097,1.084,982
Corullón,Municipio,León,2.248,1.530,1.175,1.064,914
Coruña del Conde,Municipio,Burgos,228,184,164,126,112
Coscurita,Municipio,Soria,226,180,135,103,79
Cotanes del Monte,Municipio,Zamora,263,204,155,125,106
Covaleda,Municipio,Soria,2.219,2.090,2.002,1.853,1.720
Covarrubias,Municipio,Burgos,758,657,618,634,545
Cozuelos de Fuentidueña,Municipio,Segovia,310,249,188,154,129
Crémenes,Municipio,León,1.701,1.613,811,639,544
Crespos,Municipio,Ávila,834,817,667,536,496
Cristóbal (Cristóbal de la Sierra),Municipio,Salamanca,308,252,246,182,155
Cuadros,Municipio,León,1.778,1.680,1.730,1.999,2.018
Cubilla,Municipio,Soria,134,102,61,44,35
Cubillas de Cerrato,Municipio,Palencia,169,130,78,68,63
Cubillas de los Oteros,Municipio,León,305,265,211,156,147
Cubillas de Rueda,Municipio,León,1.004,765,616,500,404
Cubillas de Santa Marta,Municipio,Valladolid,345,265,278,276,307
Cubillo,Municipio,Segovia,77,73,40,68,77
Cubillo del Campo,Municipio,Burgos,86,76,80,102,95
Cubillos,Municipio,Zamora,523,453,398,349,310
Cubillos del Sil,Municipio,León,1.524,1.508,1.467,1.852,1.839
Cubo de Benavente,Municipio,Zamora,315,253,175,129,115
